"collection" "group" "rep" "group_ID" "rep_ID" "meth"
"" "Low methylated DNA" "1" "Low methylated DNA" "Low methylated DNA 1" 0.74
"" "Low methylated DNA" "2" "Low methylated DNA" "Low methylated DNA 2" 3.54
"" "Low methylated DNA" "3" "Low methylated DNA" "Low methylated DNA 3" 0
"" "High methylated DNA" "1" "High methylated DNA" "High methylated DNA 1" 94.99
"" "High methylated DNA" "2" "High methylated DNA" "High methylated DNA 2" 95.35
"" "High methylated DNA" "3" "High methylated DNA" "High methylated DNA 3" 96.28
